destination	size	sha256	url	project_id	file_id	name
mods/AsyncParticles-20.1.1.0+1.20.1.jar	1904800	2A3296C25669CF9512361103D5F08B360C347EEEEB26ACBFCCB15821F298ECD9	https://edge.forgecdn.net/files/8394/471/AsyncParticles-20.1.1.0+1.20.1.jar	1215753	8394471	AsyncParticles
mods/atg-2.0.3+1.20.1.jar	18890	B41CC9AF0C4E147A10345E8160D975A5BD75D149F54279217B07990BA5BFF599	https://edge.forgecdn.net/files/6224/419/atg-2.0.3+1.20.1.jar	934895	6224419	Attack Through Grass
mods/athena-forge-1.20.1-3.1.2.jar	91808	64EEC9CFFB8847A459536096AC396B135FFB07C7D9D13C6A47D9CD7B251276AB	https://edge.forgecdn.net/files/5176/879/athena-forge-1.20.1-3.1.2.jar	841890	5176879	Athena
mods/AttributeFix-Forge-1.20.1-21.0.5.jar	19499	43CCFD91C1A24D1B3C9D3CCF2DD6A86E9F0C2BA442B111A2238FBFF3CF88AF11	https://edge.forgecdn.net/files/7612/291/AttributeFix-Forge-1.20.1-21.0.5.jar	280510	7612291	AttributeFix
mods/BadOptimizations-2.4.1-1.20.1.jar	460234	3DA53CDF856757D9EC7DF0BE86BC23B2C7D67A019B490F8F64317D4D9B77CAC8	https://edge.forgecdn.net/files/7338/200/BadOptimizations-2.4.1-1.20.1.jar	949555	7338200	BadOptimizations
mods/balm-forge-1.20.1-7.3.39-all.jar	601013	BF8A600D9004443E7CF49C2597434E3F3B0E7E02BBE4DDEB1625458ACF2206A2	https://edge.forgecdn.net/files/8362/090/balm-forge-1.20.1-7.3.39-all.jar	531761	8362090	Balm
mods/betterp2p-1.5.0-forge.jar	262302	AF3DB500145F352A21BC2CD86D1F854E5F3C1486A8659B493A5B2FBC3BA0776F	https://edge.forgecdn.net/files/6015/618/betterp2p-1.5.0-forge.jar	538092	6015618	Better P2P
mods/bocchium-1.20.1-0.0.3.jar	10201	8CD971CC5774AED3B02B67810891837ADC7E348C8A45BE0590D28EA110FDB9FA	https://edge.forgecdn.net/files/5086/758/bocchium-1.20.1-0.0.3.jar	905450	5086758	Bocchium
mods/Botania-1.20.1-454-FORGE.jar	12211755	4B12D7BE6A6BC1E121A222AB8EA4F680306B1AAA2369CCCD4A49441E3C2024C5	https://edge.forgecdn.net/files/8370/023/Botania-1.20.1-454-FORGE.jar	225643	8370023	Botania
mods/botarium-forge-1.20.1-2.3.4.jar	157633	470810A364FF4AD4D4FCD4E55798263938FC893970EACECC58E8B741A392B1CF	https://edge.forgecdn.net/files/5486/070/botarium-forge-1.20.1-2.3.4.jar	704113	5486070	Botarium
mods/buildinggadgets2-1.0.8.jar	3833683	59EFB399A4ACDB69A01A970B1F1E3C5584495AABC726FF40857AB4AED9372C83	https://edge.forgecdn.net/files/6850/495/buildinggadgets2-1.0.8.jar	298187	6850495	Building Gadgets
mods/calculatoroverlay-1.0.3.jar.disabled	21220	F648E0551B4931B7E36C7690D8A2D3DE8A363A63571ECDE0FF0DD7814FB4AFEB	https://edge.forgecdn.net/files/8079/644/calculatoroverlay-1.0.3.jar	1514315	8079644	CalculatorOverlay
mods/camera-forge-1.20.1-1.0.20.jar.disabled	299726	593F3A9C0BAF09D7BAF8F9EC44B882716C43FBF11D5CBFF607C9F7FA3EC9AEB8	https://edge.forgecdn.net/files/6480/231/camera-forge-1.20.1-1.0.20.jar	289310	6480231	Camera Mod
mods/chisel-forge-2.0.0+mc1.20.1.jar.disabled	8265809	F6EBB48DE0A954349A5F0D607F7955E898A87DAE45FB7CF71878F4BAC56653C1	https://edge.forgecdn.net/files/6266/130/chisel-forge-2.0.0+mc1.20.1.jar	551763	6266130	Chisel Reborn [Forge/Fabric/NeoForge]
mods/chloride-FORGE-mc1.20.1-v1.7.7.jar	956960	E843D67CF01E93CEE9CBFA99A09B77CC811BDEF293976AF52D48D20E16A7F90D	https://edge.forgecdn.net/files/8064/899/chloride-FORGE-mc1.20.1-v1.7.7.jar	931925	8064899	Chloride (Previously Embeddium++/Sodium++)
mods/clienttweaks-forge-1.20.1-11.1.8.jar	174804	EE06EC96D75EBF4CDBD96BFC5BDEA18FBF3457F7A395C040C9228BDD0D90BF47	https://edge.forgecdn.net/files/8370/983/clienttweaks-forge-1.20.1-11.1.8.jar	251407	8370983	Client Tweaks
mods/cloth-config-11.1.136-forge.jar	1181413	1E895E85CF5B1E1905EF3178EC155C8BADFE22A1577B92C09143A5AA1F4CE0F2	https://edge.forgecdn.net/files/5729/105/cloth-config-11.1.136-forge.jar	348521	5729105	Cloth Config API (Fabric/Forge/NeoForge)
mods/CmplAdd-EuphoriaPatcher-1.7.7-r5.6.1-forge.jar	2246215	9B7B9613A1FBA2498EBFA79C9F8899C32364FD95C6D13615B94AF755A48C3B9C	https://edge.forgecdn.net/files/7214/963/EuphoriaPatcher-1.7.7-r5.6.1-forge.jar	915902	7214963	Euphoria Patcher 1.7.7 r5.6.1 Forge
mods/configuration-forge-1.20.1-3.1.0.jar	439661	179CA1A9928920A5D89D73D308E0E78F59083E4E44D869D5CF23A9087FD52C3D	https://edge.forgecdn.net/files/5840/405/configuration-forge-1.20.1-3.1.0.jar	444699	5840405	Configuration
mods/constructionwand-1.20.1-2.11.jar	210312	B55CA6F0E734BAD848ADB06949675136F1D05CB4FB3EFDDE084C9842C40E1EEC	https://edge.forgecdn.net/files/4684/054/constructionwand-1.20.1-2.11.jar	399558	4684054	Construction Wand
mods/Controlling-forge-1.20.1-12.0.2.jar	115280	516308A93824119F6A1EBC75425AA21EE8F8DE0C331942793A054BA6D9C24944	https://edge.forgecdn.net/files/4646/682/Controlling-forge-1.20.1-12.0.2.jar	250398	4646682	Controlling
mods/Corgilib-Forge-1.20.1-4.0.3.4.jar	360700	9E638C7E73D997BB4ECBA4AA40DE90E89DD15FDBC4235FB997EED9AD43C10CD3	https://edge.forgecdn.net/files/6616/784/Corgilib-Forge-1.20.1-4.0.3.4.jar	693313	6616784	CorgiLib
mods/coroutil-forge-1.20.1-1.3.7.jar	64187	11448808A42C17425CF2EA39701841008683D6AD6E2838A34EEF0253251A870F	https://edge.forgecdn.net/files/5096/038/coroutil-forge-1.20.1-1.3.7.jar	237749	5096038	CoroUtil
mods/corpse-forge-1.20.1-1.0.23.jar	245644	8D77C5FC8DC981C750A8E66D4665F055457F748F0CE49A303D9BC50347BDBF7C	https://edge.forgecdn.net/files/7018/272/corpse-forge-1.20.1-1.0.23.jar	316582	7018272	Corpse
mods/cosmeticarmorreworked-1.20.1-v1a.jar	88752	C790E8671625B05EC0AA19272E0EA74EA95619F953E3C6F39A6736AF0D386804	https://edge.forgecdn.net/files/4600/191/cosmeticarmorreworked-1.20.1-v1a.jar	237307	4600191	Cosmetic Armor Reworked
